Código,Nombre,Descripción,Inicio,Fin,Estado,Sigla,Nombre,Tipo,,Tema,Total,Total Hombres,Total Mujeres,Departamento
COL-15/DDA-3418/SA/SAN-WASH-Pr/INGO/2095,Artesanos de Vida - Artisans of life ,"El proyecto se orienta a personas en situación de desplazamiento y/o receptoras afectadas por el conflicto armado, en las cabeceras municipales de los municipios de Solita y Curillo, departamento de Caquetá. La intervención se realizará a través de la labor humanitaria de Diakonie Katastrophenhilfe (DKH) - el departamento humanitario del ?Evangelisches Werk für Diakonie und Entwicklung? - (EWDE/DKH) y la ONG local Corporación Manigua Corpomanigua?. En el Caquetá el conflicto armado ha causado grandes afectaciones para la población, que en muchos casos fue obligada a desplazarse a zonas marginales urbanas donde no tienen las oportunidades o los medios de vida necesarios para subsistir, no tienen acceso a una vivienda digna y no cuenta con la prestación de servicios básicos. Según el informe MIRA de Noviembre 2014 el Caquetá mantienen la presencia de actores armados que amenazan la seguridad y la movilidad de la población civil.?. El Departamento ha sido uno de los escenarios más importantes del Conflicto Armado, es reconocido como el quinto departamento con más siembra ilícita de coca, con 4.322 hectáreas de cultivos. Por medio de una evaluación rápida de necesidades realizada por DKH y Corpomanigua, y la aplicación de encuestas MIRA- Multi-Cluster Initial Rapid Assessment (OCHA, Corpomanigua y Diakonie) se identificaron los sectores de los 2 municipios con mayor concentración de población en situación de desplazamiento y las necesidades prioritarias para la población. Por medio de entrevistas se hizo una identificación inicial de las prioridades, necesidades, opiniones mujeres, hombres niñas y niñas, proceso que se profundizara al inicio del proyecto con la aplicación de una Línea de base que permitirá recoger información desagregada por sexo y edad. Se orienta a beneficiar a 830 personas, 500 en situación de desplazamiento (aproximadamente 100 familias) y 100 receptoras (aproximadamente 20 familias). Igualmente 200 Niños, Niñas, Adolescentes y Jóvenes (NNAJ) de Instituciones educativas que atienden población víctima y 30 personas de organizaciones (docentes principalmente). A las familias se les apoyara con seguridad alimentaria, mejoramiento de la calidad de agua, saneamiento básico, protección de niños, niñas, adolescentes y jóvenes (NNAJ) y apoyo psicosocial para fortalecer el tejido social y la exigibilidad de derechos, acciones que se realizaran teniendo en cuenta las necesidades específicas diferenciadas por género y edad.",2015-12-21,2016-12-26,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,21052707,Seguridad Alimentaria y Nutrición (SAN),830 Directos,144 Hombres,176 Mujeres,Caquetá
COL-15/DDA-3418/SA/WASH-SAN-Pr/INGO/2097,"Humanitarian assistance for families, including older people, affected by the internal conflict in Cartagena del Chairá - Caquetá.","Este proyecto brindará atención integral a familias afectadas por desplazamiento forzado de los últimos 18 meses y que afrontan restricciones de movilidad en Cartagena del Chairá, Caquetá, en la zona urbana ?La Ciudadela Chairense? y rural cuyo centro es la vereda Bolivia y Miraflores Bajo. Atención psicosocial a través de procesos de formación grupal y acompañamiento familiar e individual en articulación con la Personería municipal y la Comisaría de familia. La formación grupal es parte de la atención psicosocial comunitaria, se realizará en jornadas colectivas denominadas ?Círculos de Autocuidado? y se abordan temáticas orientadoras sobre adaptación al nuevo entorno, acceso a la oferta institucional local, ley de Víctimas y restitución de tierras, manejo del duelo, convivencia familiar, valoración de adultos mayores, y acciones de autoprotección. Grupos de especial interés serán las mujeres, NNJ y adultos mayores por ser afectados diferencialmente por el conflicto y las violencias asociadas al mismo. Seguridad Alimentaria y Nutrición 120 familias (70 urbanas en la cabecera municipal de Cartagena y 50 rurales de Miraflores y Bolivia) recibirán paquetes alimentarios diferenciados (3 para familias urbanas y 1 para las rurales) y se apoyarán iniciativas para la recuperación de la producción de alimentos en huertas caseras en zona urbana a las 70 familias, debido a que estás se atienden a través del proyecto ECHO 2015 que HelpAge y Corpomanigua desarrollan actualmente. En la zona rural se apoyarán huertas caseras, producción de pancoger con cultivos locales y cría de especies menores que aporten contenido proteico para las 50 familias. Anexo 3: Criterio técnico y nutricional. Agua, Saneamiento Básico e Higiene. El proyecto apoyará el abastecimiento de agua apta para el consumo humano a través de i) Intervención social, mediante capacitación de adultos responsables de los hogares y personas mayores de la comunidad para generar cambios de hábitos relacionados con el cuidado con los desechos sólidos, manejo de insumos químicos, cuidado del recurso hídrico, entre otros. ii) Dotación de tanques de 500 litros y filtros de arcilla de 35 litros. Capacitación en manejo de los filtros a las 50 familias rurales que no fueron atendidas en el proyecto ECHO. Anexo 5: Estrategia de intervención social en agua.",2016-01-18,2016-08-30,En ejecución,HelpAge,HelpAge International,ONG Internacional,19922544,Seguridad Alimentaria y Nutrición (SAN),670 Directos,147 Hombres,178 Mujeres,Caquetá
UTF/COL/071/COL,Fortalecimiento de la Resiliencia del Sector Agropecuario en Colombia ,"Fortalecer de las capacidades de familias de la comunidad indígena Wayúu en la Guajira, en el empleo de insumos adecuados, para la protección de sus medios de subsistencia agropecuarios",2015-11-16,2016-08-31,En ejecución,FAO,Organización de las Naciones Unidas para la Agricultura y la Alimentación,Agencia ONU,169709,Seguridad Alimentaria y Nutrición (SAN),1500 Directos,,,La Guajira
COL-15/DDA-3418/SA/SAN/NGO/2091,Mejora de la Seguridad alimentaria y fortalecimiento de la capacidad de resiliencia de familias afectadas por el derrame de crudo en 21 comunidades rurales de San Andres de Tumaco,"21/12/2015El proyecto busca proveer seguridad alimentaria a 818 familias (1740 mujeres/niñas y 1548 hombres/niños) de 21 comunidades de zona rural de Tumaco afectadas por el derrame de crudo en el río Mira (junio 2015) ? desglose por edad y sexo en Anexo 001- con enfoque de género y diferencial, a través de una intervención en el sector de SAN priorizado por la actualización de octubre 2015 a la evaluación MIRA de julio 2015. PLAN pretende dar respuesta de manera equitativa y sin discriminación de edad o género a las necesidades alimentarias/nutricionales de esta población que sufre doble afectación por conflicto armado y por la emergencia causada por el derrame de crudo, atendiendo especialmente las necesidades específicas de los grupos más vulnerables (mujeres lactantes/gestantes, niños y niñas - NNA (detalle de necesidades en ?Needs assessment?).La estrategia cuenta con un enfoque de Desarrollo Comunitario Centrado en la Niñez para producir cambios significativos en las vidas de los NNA mediante cambios sociales, políticos, económicos y culturales a nivel familiar y comunitario. Mediante asistencia alimentaria y desarrollo de iniciativas productivas locales se garantizará la disponibilidad de alimentos y mejorará la dieta alimentaria de las familias con un impacto positivo directo en los derechos de la niñez. Además, se realizarán capacitaciones con participación de padres y madres para fomentar su rol de corresponsables en la garantía de derechos de NNA. La estrategia facilitará los derechos en seguridad alimentaria, protección, salud, agua y saneamiento y gestión de riesgos poniendo en el centro de la intervención a los NNA. La contaminación del río ha puesto en peligro la disponibilidad de alimentos, generación de ingresos y medios de subsistencia de las comunidades. La estrategia contribuye a garantizar el acceso a una canasta de alimentos para las familias mediante entrega de kits alimentarios (compuestos por 5Kg arroz, 1lb quinua, 1 lb harina, 2Kg leguminosa y 1lt de aceite); y a fortalecer/restablecer medios de vida degradados por el derrame de crudo, mediante acciones orientadas a aumentar las capacidades de resiliencia individual y comunitaria para salvar vidas a través del desarrollo de iniciativas productivas con enfoque de empoderamiento de mujeres y jóvenes. Para ello se cuenta con un Fondo para asegurar las inversiones materiales que se requieran para el desarrollo/fortalecimiento de 168 iniciativas productivas familiares/comunitarias que serán identificadas en un taller de diagnóstico participativo.Además, se realizarán 4 capacitaciones (en nutrición, protección, medios de vida y gestión de riesgos) con enfoque de género, niñez y reducción de riesgos para erradicar comportamientos no adecuados que inciden en la salud y bienestar de las personas por cuanto en contextos de crisis se agudiza la desigualdad de género, la violencia sexual y el abuso (Enlace a guías en Anexo 002).En el taller de diagnóstico se definirán las iniciativas y se discutirá el desbalance de poder que determina los roles de género y el acceso y control de los recursos. Así, se abordará la gestión de riesgos desde una óptica de protección (mecanismos de protección comunitaria, rutas de atención) y se generará conciencia acerca de la dieta equilibrada y la responsabilidad con la salud propia (partiendo del poder transformador ? desarrollo local y toma de decisiones- de cada grupo poblacional). Por último, en paralelo a estas acciones, se realizará incidencia ante Ecopetrol, la Alcaldía de Tumaco ? Aguas de Tumaco y Corponariño para impulsar la continuación de trabajos de descontaminación del río y determinar los niveles de contaminación del mismo.Esta acción respeta los principios de Acción sin daño, se socializó con el EHL y el clúster SAN. Se solicita a CBPF financiar USD 215.503,78; PLAN cofinancia USD 68.740,41 y el Programa Mundial de Alimentos aporta USD 187.644,84 en especie (Anexo 003 Presupuesto con Cofinanciación)",2015-12-21,2016-12-20,En ejecución,Fundacion Plan,Fundacion Plan,ONG Internacional,21551483,Seguridad Alimentaria y Nutrición (SAN),3288 Directos,,,Nariño
P.226-006/2015,"Asistencia humanitaria de la población deportada, repatriada, expulsada y con retorno voluntario de la zona fronteriza con Venezuela en el Corregimiento de Paraguachon ? Municipio de Maicao - Departamento de La Guajira?","El proyecto tiene como fin atender personas de retorno voluntario: Individuos de ambas nacionalidades  que tienen la intención de cruzar la frontera desde Venezuela hacia Colombia, en búsqueda de una protección en el territorio Colombiano, los cuales se encuentren en estado de vulnerabilidad y requieren de ayuda humanitaria de emergencia en Colombia.",2015-12-01,2016-05-31,En ejecución,Caritas Alemania,Caritas Alemania,Agencia Cooperación,50000,Alojamiento y ayuda no alimentaria,1800 Directos,,,La Guajira
200708 - 1,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200708,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,41266,Seguridad Alimentaria y Nutrición (SAN),1000 Directos,487 Hombres,513 Mujeres,Antioquia
200708 - 2,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200709,ALIMENTO POR ACTIVOS,2015-11-09,2016-02-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,50,Seguridad Alimentaria y Nutrición (SAN),2 Directos,,2 Mujeres,Antioquia
200708 - 3,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200710,ALIMENTO POR ACTIVOS,2015-11-09,2016-03-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,830,Seguridad Alimentaria y Nutrición (SAN),33 Directos,18 Hombres,15 Mujeres,Antioquia
200708 - 4,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200711,ALIMENTO POR ACTIVOS,2015-11-25,2016-03-25,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,63,Seguridad Alimentaria y Nutrición (SAN),375 Directos,197 Hombres,178 Mujeres,Antioquia
200708 - 5,OPERACION PROLONGADA DE SOCORRO Y RECUPERACION 200712,ALIMENTO POR ACTIVOS,2015-12-09,2016-01-09,Finalizado,PMA,Programa Mundial de Alimentos,Agencia ONU,126,Seguridad Alimentaria y Nutrición (SAN),5 Directos,3 Hombres,2 Mujeres,Antioquia
